"sample_id","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","protein","moisture","slope1","bias1","slope2","bias2","product","date","time","int_time","temp","gps","utc_time","y","n","x","w","id"
"SEC 1 EAST",3.093047,3.013222,2.941356,2.872958,2.803997,2.739306,2.683604,2.633126,2.586356,2.5505,2.529844,2.525634,2.531885,2.526723,2.496849,2.460327,2.444911,2.473431,2.552251,2.651701,2.713633,2.722856,2.703306,2.666757,2.619067,2.567605,2.518322,2.471351,2.424638,2.382075,2.34552,2.317627,2.299124,2.29258,2.305317,2.364687,2.498366,2.680456,12.4,9.3022,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:16:16",10000,35,"GPGGA",201548,46.0442301666667,"N",-109.17202525,"W",18431
"SEC 1 EAST",3.098723,3.015782,2.942313,2.871967,2.801599,2.736802,2.679622,2.625503,2.576922,2.53983,2.515977,2.509446,2.512733,2.503183,2.47208,2.435187,2.418176,2.444563,2.518054,2.611112,2.669401,2.677065,2.657201,2.622932,2.576955,2.526753,2.479594,2.433228,2.38715,2.345865,2.309917,2.282349,2.265688,2.258912,2.271304,2.330488,2.460044,2.636655,15.087,8.9171,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:16:36",10000,35.2,"GPGGA",201606,46.0442297333333,"N",-109.17179515,"W",18432
"SEC 1 EAST",3.144227,3.060502,2.982282,2.910478,2.843675,2.780329,2.720504,2.663734,2.613796,2.575579,2.551968,2.545178,2.549588,2.541518,2.508256,2.469681,2.452507,2.478614,2.554514,2.649954,2.710319,2.719673,2.700459,2.665197,2.620475,2.568509,2.518727,2.472201,2.425321,2.381709,2.345602,2.317317,2.299169,2.292315,2.304372,2.364013,2.497394,2.677925,13.042,9.288,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:22:05",10000,35.7,"GPGGA",202131,46.0442232833333,"N",-109.16796815,"W",18433
"SEC 1 EAST",3.060785,2.981779,2.908287,2.840079,2.775456,2.716306,2.662294,2.608943,2.562542,2.528159,2.509273,2.507257,2.516159,2.511492,2.482613,2.446782,2.432665,2.464203,2.546798,2.649065,2.712099,2.720999,2.700275,2.662193,2.614624,2.563022,2.513875,2.467133,2.420029,2.377155,2.34122,2.312497,2.294281,2.287699,2.30053,2.360596,2.497004,2.67987,11.424,9.0175,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:16:56",10000,35.2,"GPGGA",201626,46.0442296,"N",-109.171561833333,"W",18434
"SEC 1 EAST",3.065734,2.986068,2.915346,2.848413,2.783141,2.72262,2.666582,2.612274,2.565437,2.529532,2.50769,2.503524,2.508826,2.500438,2.470451,2.434732,2.419668,2.448683,2.524746,2.618602,2.676734,2.684656,2.664409,2.629632,2.584322,2.534998,2.488277,2.442846,2.396766,2.355494,2.320096,2.29242,2.275878,2.269256,2.281291,2.341548,2.473029,2.651378,13.82,8.8698,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:17:20",10000,35,"GPGGA",201646,46.0442290833333,"N",-109.171329333333,"W",18435
"SEC 1 EAST",3.199924,3.114512,3.03961,2.967706,2.896214,2.828878,2.767208,2.710276,2.66128,2.622171,2.59775,2.590925,2.593574,2.58502,2.553527,2.513595,2.495379,2.522945,2.598941,2.695238,2.755558,2.762871,2.742442,2.706114,2.65731,2.605731,2.556952,2.508834,2.461693,2.418453,2.381286,2.352979,2.334865,2.327293,2.340232,2.400523,2.533308,2.714145,13.689,9.3899,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:17:39",10000,35.2,"GPGGA",201709,46.0442286166667,"N",-109.171061333333,"W",18436
"SEC 1 EAST",3.200363,3.113427,3.033916,2.958906,2.888006,2.825434,2.76659,2.707237,2.656749,2.618612,2.595151,2.590934,2.597319,2.589478,2.557677,2.519085,2.50281,2.534748,2.618301,2.721528,2.785482,2.793366,2.771319,2.732996,2.683431,2.629687,2.578928,2.529456,2.479888,2.435614,2.397686,2.367891,2.349949,2.343034,2.356834,2.421408,2.561862,2.753895,13.914,9.0954,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:17:58",10000,35.5,"GPGGA",201728,46.0442284,"N",-109.170840733333,"W",18437
"SEC 1 EAST",3.193285,3.10743,3.02795,2.954889,2.885924,2.821702,2.761932,2.703515,2.652799,2.615155,2.592269,2.587303,2.593417,2.585722,2.55354,2.515154,2.498947,2.529648,2.612226,2.71427,2.776833,2.786008,2.764461,2.725617,2.67697,2.623326,2.572073,2.523358,2.473985,2.428887,2.391634,2.362,2.343727,2.336881,2.35049,2.414295,2.555491,2.745649,12.121,9.2777,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:18:22",10000,35.5,"GPGGA",201748,46.0442279666667,"N",-109.17060905,"W",18438
"SEC 1 EAST",3.099257,3.017939,2.945513,2.876982,2.81142,2.74986,2.6924,2.639259,2.592486,2.556077,2.535082,2.531125,2.53677,2.530333,2.499686,2.462537,2.447699,2.476817,2.555066,2.653387,2.71325,2.721684,2.70197,2.665339,2.61811,2.567674,2.518783,2.471778,2.425469,2.382398,2.346189,2.318586,2.300723,2.294081,2.307586,2.367772,2.501706,2.683985,12.054,9.0486,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:18:43",10000,35.3,"GPGGA",201811,46.0442275166667,"N",-109.170340633333,"W",18439
"SEC 1 EAST",3.096848,3.017065,2.94672,2.880268,2.811275,2.747601,2.693047,2.641734,2.596153,2.561561,2.541163,2.538591,2.546872,2.542614,2.513096,2.476927,2.460446,2.490384,2.5722,2.674272,2.738668,2.748618,2.727207,2.689346,2.64081,2.588346,2.5387,2.491055,2.44327,2.400164,2.363568,2.333884,2.315254,2.307688,2.31955,2.379424,2.512785,2.695152,11.656,9.0728,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:19:04",10000,35.3,"GPGGA",201832,46.0442273666667,"N",-109.170096933333,"W",18440
